Hour,Real,Simulation
0,0.0,20.0
1,0.0,30.0
2,0.0,10.0
3,0.0,30.0
4,0.0,60.0
5,0.0,310.0
6,0.0,550.0
7,0.0,450.0
8,0.0,780.0
9,0.0,620.0
10,0.0,580.0
11,0.0,690.0
12,0.0,770.0
13,0.0,740.0
14,0.0,680.0
15,0.0,820.0
16,0.0,920.0
17,0.0,590.0
18,0.0,820.0
19,0.0,700.0
20,0.0,740.0
21,0.0,770.0
22,0.0,530.0
23,0.0,450.0
