Hour,Real,Simulation
0,0.0,0.0
1,0.0,0.0
2,0.0,20.0
3,0.0,20.0
4,0.0,30.0
5,0.0,230.0
6,0.0,720.0
7,0.0,660.0
8,0.0,670.0
9,0.0,760.0
10,0.0,600.0
11,0.0,720.0
12,0.0,730.0
13,0.0,650.0
14,0.0,740.0
15,0.0,790.0
16,0.0,900.0
17,0.0,910.0
18,0.0,770.0
19,0.0,840.0
20,0.0,460.0
21,0.0,280.0
22,0.0,70.0
23,0.0,60.0
