Hour,Real,Simulation
0,0.0,10.0
1,0.0,20.0
2,0.0,20.0
3,0.0,50.0
4,0.0,70.0
5,0.0,660.0
6,0.0,1340.0
7,0.0,1230.0
8,0.0,1160.0
9,0.0,1270.0
10,0.0,970.0
11,0.0,1080.0
12,0.0,1150.0
13,0.0,1040.0
14,0.0,1260.0
15,0.0,1150.0
16,0.0,1190.0
17,0.0,1340.0
18,0.0,1180.0
19,0.0,1200.0
20,0.0,840.0
21,0.0,520.0
22,0.0,220.0
23,0.0,130.0
