Hour,Real,Simulation
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,10.0
8,0.0,30.0
9,0.0,260.0
10,0.0,130.0
11,0.0,180.0
12,0.0,540.0
13,0.0,160.0
14,0.0,190.0
15,0.0,340.0
16,0.0,240.0
17,0.0,540.0
18,0.0,570.0
19,0.0,350.0
20,0.0,250.0
21,0.0,10.0
22,0.0,10.0
23,0.0,0.0
