Hour,Real,Simulation
0,0.0,0.0
1,0.0,0.0
2,0.0,30.0
3,0.0,0.0
4,0.0,10.0
5,0.0,120.0
6,0.0,290.0
7,0.0,470.0
8,0.0,270.0
9,0.0,450.0
10,0.0,550.0
11,0.0,570.0
12,0.0,540.0
13,0.0,600.0
14,0.0,750.0
15,0.0,690.0
16,0.0,670.0
17,0.0,930.0
18,0.0,730.0
19,0.0,750.0
20,0.0,330.0
21,0.0,320.0
22,0.0,120.0
23,0.0,30.0
