zone;base;deges;citiz
1;100.0;90.0;110.0
2;70.0;70.0;90.0
3;110.0;80.0;90.0
4;100.0;80.0;100.0
5;370.0;280.0;360.0
6;2830.0;2510.0;2970.0
7;5470.0;4470.0;5240.0
8;5170.0;4070.0;4900.0
9;5180.0;4200.0;5070.0
10;5570.0;4360.0;5150.0
11;5340.0;4340.0;5240.0
12;5560.0;4490.0;5170.0
13;5720.0;4460.0;4740.0
14;5350.0;4460.0;5110.0
15;5510.0;4350.0;5170.0
16;5970.0;4840.0;5510.0
17;6520.0;5090.0;6030.0
18;6210.0;5000.0;5330.0
19;6570.0;5150.0;5510.0
20;6550.0;4960.0;5910.0
21;5400.0;4760.0;5090.0
22;3560.0;3060.0;3560.0
23;2430.0;2150.0;2550.0
24;1000.0;960.0;970.0
