zone;base;base/deges;base/citiz
1;40.0;0.8;0.8
2;70.0;1.1666666666666667;1.0
3;110.0;0.7857142857142857;0.7857142857142857
4;150.0;1.0714285714285714;1.0714285714285714
5;400.0;0.9302325581395349;0.8695652173913043
6;3720.0;0.9946524064171123;1.0333333333333334
7;5500.0;0.9466437177280551;0.9717314487632509
8;5770.0;0.9931153184165232;1.0266903914590748
9;5420.0;0.9783393501805054;1.0168855534709194
10;5290.0;0.9851024208566108;0.9943609022556391
11;4940.0;0.937381404174573;0.9518304431599229
12;5300.0;0.9888059701492538;1.003787878787879
13;4990.0;1.0288659793814432;1.0040241448692153
14;5290.0;1.0173076923076922;0.9981132075471698
15;5790.0;0.9813559322033898;1.04136690647482
16;5730.0;1.0611111111111111;1.0268817204301075
17;6010.0;1.0100840336134453;0.9820261437908496
18;6030.0;0.9725806451612903;0.9934102141680395
19;6360.0;1.029126213592233;1.0176
20;6260.0;0.9586523736600306;0.9705426356589147
21;5680.0;0.9627118644067797;1.0234234234234234
22;3730.0;0.9301745635910225;0.9688311688311688
23;1990.0;0.8024193548387096;0.9004524886877828
24;990.0;0.868421052631579;0.9428571428571428
