zone;base;base/deges;base/citiz
1;20.0;2.0;0.6666666666666666
2;30.0;3.0;1.0
3;10.0;1.0;0.0
4;30.0;1.5;1.0
5;60.0;1.0;0.6666666666666666
6;310.0;2.3846153846153846;0.8157894736842105
7;550.0;2.2916666666666665;0.6962025316455697
8;450.0;1.6071428571428572;0.7142857142857143
9;780.0;1.9024390243902438;0.9397590361445783
10;620.0;2.2962962962962963;1.0
11;580.0;1.6111111111111112;0.725
12;690.0;1.5333333333333334;0.9583333333333334
13;770.0;1.54;0.927710843373494
14;740.0;1.85;0.8604651162790697
15;680.0;1.5454545454545454;0.9066666666666666
16;820.0;1.7083333333333333;1.0789473684210527
17;920.0;1.8775510204081634;1.2602739726027397
18;590.0;1.1132075471698113;0.7564102564102564
19;820.0;1.5471698113207548;0.8913043478260869
20;700.0;1.794871794871795;0.9333333333333333
21;740.0;1.7619047619047619;0.9024390243902439
22;770.0;2.8518518518518516;0.8850574712643678
23;530.0;2.789473684210526;0.828125
24;450.0;2.6470588235294117;1.0975609756097562
