zone;base;base-deges;base-citiz
1;60.0;10.0;0.0
2;60.0;10.0;0.0
3;100.0;0.0;0.0
4;180.0;40.0;30.0
5;440.0;20.0;-30.0
6;3450.0;640.0;30.0
7;5450.0;670.0;230.0
8;5920.0;930.0;380.0
9;5450.0;910.0;490.0
10;5480.0;1100.0;100.0
11;4860.0;700.0;120.0
12;5390.0;830.0;140.0
13;5200.0;1090.0;110.0
14;5210.0;820.0;20.0
15;5780.0;850.0;430.0
16;5820.0;1080.0;250.0
17;5580.0;980.0;-80.0
18;5630.0;950.0;330.0
19;5800.0;980.0;200.0
20;5810.0;860.0;110.0
21;5460.0;630.0;200.0
22;3430.0;360.0;-110.0
23;1980.0;100.0;-70.0
24;920.0;90.0;20.0
