zone;base;base-deges;base-citiz
1;10.0;10.0;10.0
2;0.0;0.0;0.0
3;40.0;20.0;10.0
4;50.0;30.0;50.0
5;100.0;30.0;90.0
6;490.0;280.0;370.0
7;760.0;340.0;470.0
8;910.0;310.0;440.0
9;520.0;160.0;250.0
10;960.0;300.0;510.0
11;900.0;270.0;350.0
12;820.0;160.0;250.0
13;850.0;20.0;310.0
14;800.0;150.0;200.0
15;1000.0;70.0;250.0
16;1010.0;190.0;320.0
17;1090.0;240.0;420.0
18;1080.0;-20.0;150.0
19;940.0;120.0;210.0
20;1010.0;110.0;260.0
21;820.0;120.0;490.0
22;760.0;260.0;440.0
23;570.0;450.0;450.0
24;280.0;250.0;250.0
