zone;base;base/deges;base/citiz
1;10.0;0.0;0.0
2;0.0;0.0;0.0
3;40.0;2.0;1.3333333333333333
4;50.0;2.5;0.0
5;100.0;1.4285714285714286;10.0
6;490.0;2.3333333333333335;4.083333333333333
7;760.0;1.8095238095238095;2.6206896551724137
8;910.0;1.5166666666666666;1.9361702127659575
9;520.0;1.4444444444444444;1.9259259259259258
10;960.0;1.4545454545454546;2.1333333333333333
11;900.0;1.4285714285714286;1.6363636363636365
12;820.0;1.2424242424242424;1.4385964912280702
13;850.0;1.0240963855421688;1.5740740740740742
14;800.0;1.2307692307692308;1.3333333333333333
15;1000.0;1.075268817204301;1.3333333333333333
16;1010.0;1.2317073170731707;1.463768115942029
17;1090.0;1.2823529411764707;1.626865671641791
18;1080.0;0.9818181818181818;1.1612903225806452
19;940.0;1.146341463414634;1.2876712328767124
20;1010.0;1.1222222222222222;1.3466666666666667
21;820.0;1.1714285714285715;2.484848484848485
22;760.0;1.52;2.375
23;570.0;4.75;4.75
24;280.0;9.333333333333334;9.333333333333334
