zone;base;base-deges;base-citiz
1;100.0;10.0;-10.0
2;70.0;0.0;-20.0
3;110.0;30.0;20.0
4;100.0;20.0;0.0
5;370.0;90.0;10.0
6;2830.0;320.0;-140.0
7;5470.0;1000.0;230.0
8;5170.0;1100.0;270.0
9;5180.0;980.0;110.0
10;5570.0;1210.0;420.0
11;5340.0;1000.0;100.0
12;5560.0;1070.0;390.0
13;5720.0;1260.0;980.0
14;5350.0;890.0;240.0
15;5510.0;1160.0;340.0
16;5970.0;1130.0;460.0
17;6520.0;1430.0;490.0
18;6210.0;1210.0;880.0
19;6570.0;1420.0;1060.0
20;6550.0;1590.0;640.0
21;5400.0;640.0;310.0
22;3560.0;500.0;0.0
23;2430.0;280.0;-120.0
24;1000.0;40.0;30.0
