zone;base;base/deges;base/citiz
1;0.0;0.0;0.0
2;0.0;0.0;0.0
3;0.0;10.0;0.0
4;0.0;10.0;30.0
5;40.0;0.8;0.6666666666666666
6;350.0;0.9459459459459459;0.4430379746835443
7;480.0;0.9230769230769231;0.5393258426966292
8;590.0;0.7468354430379747;0.5221238938053098
9;750.0;1.1363636363636365;0.6880733944954128
10;730.0;0.9605263157894737;0.6759259259259259
11;900.0;1.1538461538461537;0.8653846153846154
12;820.0;1.0789473684210527;0.803921568627451
13;820.0;1.0789473684210527;0.7454545454545455
14;780.0;1.0129870129870129;0.6782608695652174
15;960.0;1.0786516853932584;0.8727272727272727
16;920.0;1.0222222222222221;0.8518518518518519
17;860.0;0.9247311827956989;0.7049180327868853
18;1040.0;1.1818181818181819;0.859504132231405
19;850.0;1.0493827160493827;0.85
20;950.0;1.130952380952381;0.8050847457627118
21;800.0;1.1111111111111112;0.7339449541284404
22;330.0;1.2222222222222223;0.39759036144578314
23;150.0;0.6521739130434783;0.30612244897959184
24;70.0;0.5833333333333334;0.3181818181818182
