zone;base;deges;citiz
1;60.0;50.0;60.0
2;60.0;50.0;60.0
3;100.0;100.0;100.0
4;180.0;140.0;150.0
5;440.0;420.0;470.0
6;3450.0;2810.0;3420.0
7;5450.0;4780.0;5220.0
8;5920.0;4990.0;5540.0
9;5450.0;4540.0;4960.0
10;5480.0;4380.0;5380.0
11;4860.0;4160.0;4740.0
12;5390.0;4560.0;5250.0
13;5200.0;4110.0;5090.0
14;5210.0;4390.0;5190.0
15;5780.0;4930.0;5350.0
16;5820.0;4740.0;5570.0
17;5580.0;4600.0;5660.0
18;5630.0;4680.0;5300.0
19;5800.0;4820.0;5600.0
20;5810.0;4950.0;5700.0
21;5460.0;4830.0;5260.0
22;3430.0;3070.0;3540.0
23;1980.0;1880.0;2050.0
24;920.0;830.0;900.0
