zone;base;base/deges;base/citiz
1;60.0;1.2;1.0
2;60.0;1.2;1.0
3;100.0;1.0;1.0
4;180.0;1.2857142857142858;1.2
5;440.0;1.0476190476190477;0.9361702127659575
6;3450.0;1.2277580071174377;1.0087719298245614
7;5450.0;1.1401673640167365;1.0440613026819923
8;5920.0;1.186372745490982;1.068592057761733
9;5450.0;1.2004405286343611;1.0987903225806452
10;5480.0;1.2511415525114156;1.0185873605947955
11;4860.0;1.1682692307692308;1.0253164556962024
12;5390.0;1.1820175438596492;1.0266666666666666
13;5200.0;1.2652068126520681;1.0216110019646365
14;5210.0;1.1867881548974943;1.0038535645472062
15;5780.0;1.1724137931034482;1.080373831775701
16;5820.0;1.2278481012658229;1.0448833034111311
17;5580.0;1.2130434782608697;0.9858657243816255
18;5630.0;1.202991452991453;1.0622641509433963
19;5800.0;1.2033195020746887;1.0357142857142858
20;5810.0;1.1737373737373737;1.0192982456140351
21;5460.0;1.1304347826086956;1.038022813688213
22;3430.0;1.1172638436482085;0.9689265536723164
23;1980.0;1.053191489361702;0.9658536585365853
24;920.0;1.108433734939759;1.0222222222222221
