zone;base;base-deges;base-citiz
1;20.0;10.0;-10.0
2;30.0;20.0;0.0
3;10.0;0.0;10.0
4;30.0;10.0;0.0
5;60.0;0.0;-30.0
6;310.0;180.0;-70.0
7;550.0;310.0;-240.0
8;450.0;170.0;-180.0
9;780.0;370.0;-50.0
10;620.0;350.0;0.0
11;580.0;220.0;-220.0
12;690.0;240.0;-30.0
13;770.0;270.0;-60.0
14;740.0;340.0;-120.0
15;680.0;240.0;-70.0
16;820.0;340.0;60.0
17;920.0;430.0;190.0
18;590.0;60.0;-190.0
19;820.0;290.0;-100.0
20;700.0;310.0;-50.0
21;740.0;320.0;-80.0
22;770.0;500.0;-100.0
23;530.0;340.0;-110.0
24;450.0;280.0;40.0
