zone;base;deges;citiz
1;10.0;0.0;10.0
2;20.0;0.0;20.0
3;20.0;20.0;30.0
4;50.0;20.0;30.0
5;70.0;30.0;90.0
6;660.0;230.0;590.0
7;1340.0;720.0;1120.0
8;1230.0;660.0;1110.0
9;1160.0;670.0;990.0
10;1270.0;760.0;1270.0
11;970.0;600.0;1010.0
12;1080.0;720.0;1110.0
13;1150.0;730.0;1120.0
14;1040.0;650.0;1120.0
15;1260.0;740.0;1150.0
16;1150.0;790.0;1070.0
17;1190.0;900.0;1310.0
18;1340.0;910.0;1310.0
19;1180.0;770.0;1240.0
20;1200.0;840.0;1260.0
21;840.0;460.0;850.0
22;520.0;280.0;480.0
23;220.0;70.0;210.0
24;130.0;60.0;150.0
