zone;base;deges;citiz
1;80.0;100.0;80.0
2;60.0;70.0;60.0
3;130.0;100.0;110.0
4;80.0;110.0;80.0
5;360.0;330.0;360.0
6;2770.0;3020.0;2910.0
7;4670.0;5040.0;4790.0
8;4890.0;4750.0;4650.0
9;4300.0;4600.0;4630.0
10;4570.0;4640.0;4470.0
11;4250.0;4320.0;4220.0
12;4460.0;4590.0;4300.0
13;4480.0;4410.0;4220.0
14;4510.0;4440.0;4610.0
15;4550.0;4430.0;4520.0
16;4840.0;4720.0;4400.0
17;5080.0;5050.0;5080.0
18;4800.0;5070.0;4820.0
19;4970.0;4950.0;5010.0
20;5360.0;5040.0;5060.0
21;4310.0;4560.0;4190.0
22;3050.0;3070.0;2910.0
23;1940.0;2060.0;1920.0
24;680.0;780.0;620.0
