zone;base;deges;citiz
1;40.0;50.0;50.0
2;70.0;60.0;70.0
3;110.0;140.0;140.0
4;150.0;140.0;140.0
5;400.0;430.0;460.0
6;3720.0;3740.0;3600.0
7;5500.0;5810.0;5660.0
8;5770.0;5810.0;5620.0
9;5420.0;5540.0;5330.0
10;5290.0;5370.0;5320.0
11;4940.0;5270.0;5190.0
12;5300.0;5360.0;5280.0
13;4990.0;4850.0;4970.0
14;5290.0;5200.0;5300.0
15;5790.0;5900.0;5560.0
16;5730.0;5400.0;5580.0
17;6010.0;5950.0;6120.0
18;6030.0;6200.0;6070.0
19;6360.0;6180.0;6250.0
20;6260.0;6530.0;6450.0
21;5680.0;5900.0;5550.0
22;3730.0;4010.0;3850.0
23;1990.0;2480.0;2210.0
24;990.0;1140.0;1050.0
