zone;base;deges;citiz
1;0.0;0.0;0.0
2;0.0;10.0;10.0
3;0.0;0.0;10.0
4;10.0;10.0;20.0
5;40.0;60.0;10.0
6;470.0;540.0;430.0
7;890.0;960.0;760.0
8;860.0;970.0;760.0
9;920.0;1010.0;840.0
10;1140.0;1200.0;1180.0
11;1170.0;1190.0;1130.0
12;1210.0;1310.0;1280.0
13;1380.0;1440.0;1320.0
14;1180.0;1320.0;1180.0
15;1200.0;1330.0;1210.0
16;1270.0;1380.0;1340.0
17;1290.0;1380.0;1300.0
18;1380.0;1330.0;1380.0
19;1430.0;1520.0;1440.0
20;1330.0;1440.0;1450.0
21;1180.0;1360.0;1200.0
22;800.0;970.0;860.0
23;240.0;380.0;270.0
24;40.0;210.0;110.0
