zone;base;deges;citiz
1;0.0;0.0;0.0
2;0.0;0.0;0.0
3;0.0;0.0;0.0
4;0.0;0.0;0.0
5;0.0;0.0;10.0
6;10.0;10.0;20.0
7;30.0;20.0;70.0
8;70.0;40.0;100.0
9;80.0;60.0;120.0
10;40.0;70.0;150.0
11;90.0;120.0;160.0
12;150.0;130.0;160.0
13;100.0;100.0;150.0
14;100.0;80.0;140.0
15;110.0;100.0;150.0
16;70.0;70.0;160.0
17;90.0;140.0;150.0
18;100.0;100.0;150.0
19;70.0;100.0;130.0
20;40.0;50.0;90.0
21;60.0;50.0;80.0
22;10.0;10.0;30.0
23;10.0;0.0;20.0
24;0.0;10.0;10.0
