zone;base;base-deges;base-citiz
1;0.0;0.0;0.0
2;0.0;0.0;0.0
3;0.0;-10.0;0.0
4;0.0;-10.0;-30.0
5;40.0;-10.0;-20.0
6;350.0;-20.0;-440.0
7;480.0;-40.0;-410.0
8;590.0;-200.0;-540.0
9;750.0;90.0;-340.0
10;730.0;-30.0;-350.0
11;900.0;120.0;-140.0
12;820.0;60.0;-200.0
13;820.0;60.0;-280.0
14;780.0;10.0;-370.0
15;960.0;70.0;-140.0
16;920.0;20.0;-160.0
17;860.0;-70.0;-360.0
18;1040.0;160.0;-170.0
19;850.0;40.0;-150.0
20;950.0;110.0;-230.0
21;800.0;80.0;-290.0
22;330.0;60.0;-500.0
23;150.0;-80.0;-340.0
24;70.0;-50.0;-150.0
