zone;base;deges;citiz
1;10.0;0.0;0.0
2;0.0;0.0;0.0
3;40.0;20.0;30.0
4;50.0;20.0;0.0
5;100.0;70.0;10.0
6;490.0;210.0;120.0
7;760.0;420.0;290.0
8;910.0;600.0;470.0
9;520.0;360.0;270.0
10;960.0;660.0;450.0
11;900.0;630.0;550.0
12;820.0;660.0;570.0
13;850.0;830.0;540.0
14;800.0;650.0;600.0
15;1000.0;930.0;750.0
16;1010.0;820.0;690.0
17;1090.0;850.0;670.0
18;1080.0;1100.0;930.0
19;940.0;820.0;730.0
20;1010.0;900.0;750.0
21;820.0;700.0;330.0
22;760.0;500.0;320.0
23;570.0;120.0;120.0
24;280.0;30.0;30.0
