zone;base;deges;citiz
1;0.0;0.0;0.0
2;0.0;0.0;0.0
3;0.0;10.0;0.0
4;0.0;10.0;30.0
5;40.0;50.0;60.0
6;350.0;370.0;790.0
7;480.0;520.0;890.0
8;590.0;790.0;1130.0
9;750.0;660.0;1090.0
10;730.0;760.0;1080.0
11;900.0;780.0;1040.0
12;820.0;760.0;1020.0
13;820.0;760.0;1100.0
14;780.0;770.0;1150.0
15;960.0;890.0;1100.0
16;920.0;900.0;1080.0
17;860.0;930.0;1220.0
18;1040.0;880.0;1210.0
19;850.0;810.0;1000.0
20;950.0;840.0;1180.0
21;800.0;720.0;1090.0
22;330.0;270.0;830.0
23;150.0;230.0;490.0
24;70.0;120.0;220.0
