zone;base;base/deges;base/citiz
1;100.0;1.1111111111111112;0.9090909090909091
2;70.0;1.0;0.7777777777777778
3;110.0;1.375;1.2222222222222223
4;100.0;1.25;1.0
5;370.0;1.3214285714285714;1.0277777777777777
6;2830.0;1.1274900398406376;0.9528619528619529
7;5470.0;1.2237136465324385;1.0438931297709924
8;5170.0;1.2702702702702702;1.0551020408163265
9;5180.0;1.2333333333333334;1.0216962524654833
10;5570.0;1.2775229357798166;1.0815533980582523
11;5340.0;1.2304147465437787;1.0190839694656488
12;5560.0;1.2383073496659243;1.0754352030947776
13;5720.0;1.2825112107623318;1.2067510548523206
14;5350.0;1.1995515695067265;1.0469667318982387
15;5510.0;1.2666666666666666;1.0657640232108316
16;5970.0;1.2334710743801653;1.0834845735027223
17;6520.0;1.280943025540275;1.0812603648424544
18;6210.0;1.242;1.1651031894934334
19;6570.0;1.2757281553398059;1.1923774954627948
20;6550.0;1.3205645161290323;1.1082910321489001
21;5400.0;1.134453781512605;1.0609037328094302
22;3560.0;1.1633986928104576;1.0
23;2430.0;1.130232558139535;0.9529411764705882
24;1000.0;1.0416666666666667;1.0309278350515463
