zone;base;base/deges;base/citiz
1;64227.0;0.8342468956200967;0.8675338358051706
2;68913.0;0.8442633996937213;0.872139819783335
3;10527.0;0.9808068573558185;0.9541375872382851
4;38988.0;1.325446200917899;0.9540449273234474
5;144032.0;0.9153955664022778;0.9658798283261802
6;3121.0;0.9597170971709718;0.982373308152345
7;88858.0;0.8702354369882869;0.8717380214260487
8;89338.0;0.838610357548507;0.8295309990064719
9;191179.0;1.119295328536384;1.097758305867221
10;13389.0;0.8027941000119918;0.9490360079387582
11;30943.0;0.7366679363870108;0.6913709893645544
12;31074.0;0.7501810632031287;0.7178266996234609
13;88712.0;0.9990877659274943;1.1561579564707416
14;198716.0;1.0308610913693734;0.993004057646565
15;18549.0;0.844672131147541;0.9423868312757202
16;50699.0;0.7794210340215536;0.7832864691159658
17;43550.0;0.9339681314203607;0.9500850822461713
18;56906.0;0.9185943275920515;0.9483068924143447
19;179245.0;0.9178824360792909;0.9597149419871606
20;34658.0;0.974004440322626;0.9956048375513488
21;33808.0;0.9371327198137266;0.8892395907309503
22;64525.0;0.9368965166761046;0.9432238448157406
23;50618.0;0.9295040123400113;0.9841732773370664
24;181279.0;0.965914661437797;0.9732107865506338
25;24434.0;1.015544472152951;0.9779076282718322
