zone;base;base/deges;base/citiz
1;0.0;0.0;0.0
2;0.0;0.0;0.0
3;0.0;0.0;0.0
4;0.0;0.0;0.0
5;0.0;0.0;10.0
6;10.0;1.0;0.5
7;30.0;1.5;0.42857142857142855
8;70.0;1.75;0.7
9;80.0;1.3333333333333333;0.6666666666666666
10;40.0;0.5714285714285714;0.26666666666666666
11;90.0;0.75;0.5625
12;150.0;1.1538461538461537;0.9375
13;100.0;1.0;0.6666666666666666
14;100.0;1.25;0.7142857142857143
15;110.0;1.1;0.7333333333333333
16;70.0;1.0;0.4375
17;90.0;0.6428571428571429;0.6
18;100.0;1.0;0.6666666666666666
19;70.0;0.7;0.5384615384615384
20;40.0;0.8;0.4444444444444444
21;60.0;1.2;0.75
22;10.0;1.0;0.3333333333333333
23;10.0;0.0;0.5
24;0.0;10.0;10.0
