zone;base;base/deges;base/citiz
1;10.0;0.0;1.0
2;20.0;0.0;1.0
3;20.0;1.0;0.6666666666666666
4;50.0;2.5;1.6666666666666667
5;70.0;2.3333333333333335;0.7777777777777778
6;660.0;2.869565217391304;1.11864406779661
7;1340.0;1.8611111111111112;1.1964285714285714
8;1230.0;1.8636363636363635;1.1081081081081081
9;1160.0;1.7313432835820894;1.1717171717171717
10;1270.0;1.6710526315789473;1.0
11;970.0;1.6166666666666667;0.9603960396039604
12;1080.0;1.5;0.972972972972973
13;1150.0;1.5753424657534247;1.0267857142857142
14;1040.0;1.6;0.9285714285714286
15;1260.0;1.7027027027027026;1.0956521739130434
16;1150.0;1.4556962025316456;1.074766355140187
17;1190.0;1.3222222222222222;0.9083969465648855
18;1340.0;1.4725274725274726;1.0229007633587786
19;1180.0;1.5324675324675325;0.9516129032258065
20;1200.0;1.4285714285714286;0.9523809523809523
21;840.0;1.826086956521739;0.9882352941176471
22;520.0;1.8571428571428572;1.0833333333333333
23;220.0;3.142857142857143;1.0476190476190477
24;130.0;2.1666666666666665;0.8666666666666667
