zone;base;base-deges;base-citiz
1;64227.0;-12761.0
2;68913.0;-12712.0
3;10527.0;-206.0
4;38988.0;9573.0
5;144032.0;-13312.0
6;3121.0;-131.0
7;88858.0;-13250.0
8;89338.0;-17193.0
9;191179.0;20376.0
10;13389.0;-3289.0
11;30943.0;-11061.0
12;31074.0;-10348.0
13;88712.0;-81.0
14;198716.0;5949.0
15;18549.0;-3411.0
16;50699.0;-14348.0
17;43550.0;-3079.0
18;56906.0;-5043.0
19;179245.0;-16036.0
20;34658.0;-925.0
21;33808.0;-2268.0
22;64525.0;-4346.0
23;50618.0;-3839.0
24;181279.0;-6397.0
25;24434.0;374.0
