zone;base;base-deges;base-citiz
1;0.0;0.0;0.0
2;0.0;0.0;0.0
3;0.0;0.0;0.0
4;0.0;0.0;0.0
5;0.0;0.0;-10.0
6;10.0;0.0;-10.0
7;30.0;10.0;-40.0
8;70.0;30.0;-30.0
9;80.0;20.0;-40.0
10;40.0;-30.0;-110.0
11;90.0;-30.0;-70.0
12;150.0;20.0;-10.0
13;100.0;0.0;-50.0
14;100.0;20.0;-40.0
15;110.0;10.0;-40.0
16;70.0;0.0;-90.0
17;90.0;-50.0;-60.0
18;100.0;0.0;-50.0
19;70.0;-30.0;-60.0
20;40.0;-10.0;-50.0
21;60.0;10.0;-20.0
22;10.0;0.0;-20.0
23;10.0;10.0;-10.0
24;0.0;-10.0;-10.0
