zone;base;base-deges;base-citiz
1;10.0;10.0;0.0
2;20.0;20.0;0.0
3;20.0;0.0;-10.0
4;50.0;30.0;20.0
5;70.0;40.0;-20.0
6;660.0;430.0;70.0
7;1340.0;620.0;220.0
8;1230.0;570.0;120.0
9;1160.0;490.0;170.0
10;1270.0;510.0;0.0
11;970.0;370.0;-40.0
12;1080.0;360.0;-30.0
13;1150.0;420.0;30.0
14;1040.0;390.0;-80.0
15;1260.0;520.0;110.0
16;1150.0;360.0;80.0
17;1190.0;290.0;-120.0
18;1340.0;430.0;30.0
19;1180.0;410.0;-60.0
20;1200.0;360.0;-60.0
21;840.0;380.0;-10.0
22;520.0;240.0;40.0
23;220.0;150.0;10.0
24;130.0;70.0;-20.0
