zone;base;base/deges;base/citiz
1;0.0;0.0;0.0
2;0.0;10.0;10.0
3;0.0;0.0;10.0
4;10.0;1.0;0.5
5;40.0;0.6666666666666666;4.0
6;470.0;0.8703703703703703;1.0930232558139534
7;890.0;0.9270833333333334;1.1710526315789473
8;860.0;0.8865979381443299;1.131578947368421
9;920.0;0.9108910891089109;1.0952380952380953
10;1140.0;0.95;0.9661016949152542
11;1170.0;0.9831932773109243;1.0353982300884956
12;1210.0;0.9236641221374046;0.9453125
13;1380.0;0.9583333333333334;1.0454545454545454
14;1180.0;0.8939393939393939;1.0
15;1200.0;0.9022556390977443;0.9917355371900827
16;1270.0;0.9202898550724637;0.9477611940298507
17;1290.0;0.9347826086956522;0.9923076923076923
18;1380.0;1.037593984962406;1.0
19;1430.0;0.9407894736842105;0.9930555555555556
20;1330.0;0.9236111111111112;0.9172413793103448
21;1180.0;0.8676470588235294;0.9833333333333333
22;800.0;0.8247422680412371;0.9302325581395349
23;240.0;0.631578947368421;0.8888888888888888
24;40.0;0.19047619047619047;0.36363636363636365
