zone;base;base-deges;base-citiz
1;80.0;-20.0;0.0
2;60.0;-10.0;0.0
3;130.0;30.0;20.0
4;80.0;-30.0;0.0
5;360.0;30.0;0.0
6;2770.0;-250.0;-140.0
7;4670.0;-370.0;-120.0
8;4890.0;140.0;240.0
9;4300.0;-300.0;-330.0
10;4570.0;-70.0;100.0
11;4250.0;-70.0;30.0
12;4460.0;-130.0;160.0
13;4480.0;70.0;260.0
14;4510.0;70.0;-100.0
15;4550.0;120.0;30.0
16;4840.0;120.0;440.0
17;5080.0;30.0;0.0
18;4800.0;-270.0;-20.0
19;4970.0;20.0;-40.0
20;5360.0;320.0;300.0
21;4310.0;-250.0;120.0
22;3050.0;-20.0;140.0
23;1940.0;-120.0;20.0
24;680.0;-100.0;60.0
