zone;base;base-deges;base-citiz
1;0.0;0.0;0.0
2;0.0;-10.0;-10.0
3;0.0;0.0;-10.0
4;10.0;0.0;-10.0
5;40.0;-20.0;30.0
6;470.0;-70.0;40.0
7;890.0;-70.0;130.0
8;860.0;-110.0;100.0
9;920.0;-90.0;80.0
10;1140.0;-60.0;-40.0
11;1170.0;-20.0;40.0
12;1210.0;-100.0;-70.0
13;1380.0;-60.0;60.0
14;1180.0;-140.0;0.0
15;1200.0;-130.0;-10.0
16;1270.0;-110.0;-70.0
17;1290.0;-90.0;-10.0
18;1380.0;50.0;0.0
19;1430.0;-90.0;-10.0
20;1330.0;-110.0;-120.0
21;1180.0;-180.0;-20.0
22;800.0;-170.0;-60.0
23;240.0;-140.0;-30.0
24;40.0;-170.0;-70.0
